Geneid	Ch_A1_featurecounts.txt	Ch_A2_featurecounts.txt	Ch_A3_featurecounts.txt	Ch_B1_featurecounts.txt	Ch_B2_featurecounts.txt	Ch_B3_featurecounts.txt	Ch_C1_featurecounts.txt	Ch_C2_featurecounts.txt	Ch_C3_featurecounts.txt	external_gene_name
ENSG00000141577	2449	1719	2178	2352	1654	2178	2321	1865	1983	CEP131
ENSG00000141579	7	20	7	11	21	9	46	51	24	ZNF750
ENSG00000141580	5908	6211	6592	6719	6149	6627	7071	7297	5349	WDR45B
ENSG00000141582	2052	1869	2048	2135	1973	2527	3232	2463	2267	CBX4
ENSG00000141622	800	1013	1269	1181	1377	1201	2137	1889	968	ARK2C
ENSG00000141627	1591	1831	2032	1876	1991	2047	2120	2697	2059	DYM
ENSG00000141639	52	94	137	123	175	143	126	132	49	MAPK4
ENSG00000141642	365	272	260	414	270	402	308	289	341	ELAC1
ENSG00000141644	2915	3237	3780	3271	3305	3417	4645	4674	3118	MBD1
ENSG00000141646	2320	2547	2562	2271	2536	2185	1850	2384	2353	SMAD4
ENSG00000141655	8	44	38	56	72	69	38	65	12	TNFRSF11A
ENSG00000141664	312	553	520	327	466	373	597	712	326	ZCCHC2
ENSG00000141665	43	34	29	50	34	44	36	35	41	FBXO15
ENSG00000141668	277	308	361	360	385	361	458	536	466	CBLN2
ENSG00000141682	696	699	664	870	836	891	640	1092	1325	PMAIP1
ENSG00000141696	4209	3086	3668	4109	3124	4043	4376	4147	4066	P3H4
ENSG00000141698	3018	2000	2335	3407	1998	2897	3066	2631	3195	NT5C3B
ENSG00000141699	1921	2012	2022	2063	1747	1957	2273	2227	1941	RETREG3
ENSG00000141736	362	416	593	463	520	473	798	653	392	ERBB2
ENSG00000141738	2	0	0	4	0	2	0	0	0	GRB7
ENSG00000141741	1418	803	826	1560	769	1392	1253	1102	1512	MIEN1
ENSG00000141744	177	61	107	164	85	134	122	152	181	PNMT
ENSG00000141748	0	0	0	0	1	5	0	0	0	ARL5C
ENSG00000141750	909	960	1131	1046	1046	1140	1373	1074	814	STAC2
ENSG00000141753	10996	7333	8423	16487	10567	15613	12598	10999	11976	IGFBP4
ENSG00000141756	10169	8517	10082	11550	8332	10947	12678	11335	10477	FKBP10
ENSG00000141759	5092	3206	3429	5362	3212	4691	4055	3906	5022	TXNL4A
ENSG00000141837	0	0	0	0	0	1	0	4	0	CACNA1A
ENSG00000141854	114	79	109	141	74	123	175	147	165	MISP3
ENSG00000141858	5104	3536	3937	4828	3188	4651	4592	4006	4454	SAMD1
ENSG00000141867	3012	5034	5210	3608	4451	3742	7134	6183	3560	BRD4
ENSG00000141873	1920	1065	1278	1817	1081	1838	1757	1557	1888	SLC39A3
ENSG00000141905	3625	5330	5474	3649	4897	4169	7525	6542	3964	NFIC
ENSG00000141933	1324	635	681	1156	548	1106	926	808	1278	TPGS1
ENSG00000141934	3286	2150	2702	3247	2070	3246	3373	2895	3126	PLPP2
ENSG00000141946	0	0	0	0	0	0	0	0	0	ZIM3
ENSG00000141956	425	615	684	338	525	449	699	728	401	PRDM15
ENSG00000141959	7747	7341	8626	8758	6727	8397	11093	9447	7677	PFKL
ENSG00000141965	436	295	323	365	301	389	341	319	298	FEM1A
ENSG00000141968	0	0	0	0	0	0	0	0	0	VAV1
ENSG00000141971	1639	1094	1427	2020	1288	1864	2202	1713	2056	MVB12A
ENSG00000141977	0	0	0	0	0	0	1	0	0	CIB3
ENSG00000141979	0	0	0	0	0	0	0	0	0	
ENSG00000141985	5051	3970	4395	5257	3785	5390	5541	5000	4771	SH3GL1
ENSG00000141994	1427	1248	1386	1502	1059	1458	1498	1316	1334	DUS3L
ENSG00000142002	1835	2316	2388	2172	2284	2272	2530	2657	2006	DPP9
ENSG00000142025	0	0	0	0	0	0	0	0	0	DMRTC2
ENSG00000142039	1128	1365	1497	1376	1296	1474	2000	1920	1179	CCDC97
ENSG00000142046	182	48	77	66	65	94	92	54	78	TMEM91
ENSG00000142065	743	877	763	706	752	645	463	812	647	ZFP14
ENSG00000142082	1188	933	991	1264	903	1185	1316	1093	1115	SIRT3
ENSG00000142089	252	188	197	471	324	445	332	229	288	IFITM3
ENSG00000142102	896	848	1231	1205	976	1134	980	834	768	PGGHG
ENSG00000142149	1366	2255	2376	1562	2045	1814	2442	2652	1478	HUNK
ENSG00000142156	6648	7474	8903	7986	7088	8944	9651	8005	6236	COL6A1
ENSG00000142163	0	0	0	0	0	0	0	0	0	OR1E3
ENSG00000142166	2104	2011	2148	2149	2172	2393	1676	2843	2466	IFNAR1
ENSG00000142168	8114	4470	5033	8051	4282	6960	5449	5508	8173	SOD1
ENSG00000142173	16345	12516	15651	19124	12877	19447	20606	16679	16706	COL6A2
ENSG00000142178	5	6	9	11	2	26	3	5	5	SIK1
ENSG00000142182	0	0	0	2	0	0	0	0	0	DNMT3L
ENSG00000142185	6	8	2	10	5	6	14	10	5	TRPM2
ENSG00000142186	2986	2629	3055	3313	2230	3233	3736	3118	3016	SCYL1
ENSG00000142188	835	803	899	843	813	742	465	771	866	TMEM50B
ENSG00000142192	30343	40807	44963	38735	41920	39828	52468	52893	34349	APP
ENSG00000142197	305	627	812	477	721	530	1253	1124	560	DOP1B
ENSG00000142207	1983	3623	4225	2590	4146	2799	5897	5611	2186	URB1
ENSG00000142208	5450	7104	8535	6156	6924	6618	10206	9144	5507	AKT1
ENSG00000142224	0	0	0	0	0	0	0	0	0	IL19
ENSG00000142227	18	14	32	56	25	51	34	20	10	EMP3
ENSG00000142230	6948	6306	6991	7318	5876	7335	8791	8168	6946	SAE1
ENSG00000142233	21	19	26	32	11	20	14	19	26	NTN5
ENSG00000142235	360	251	450	495	354	546	951	718	585	LMTK3
ENSG00000142252	5	11	9	2	8	3	9	11	1	GEMIN7
ENSG00000142273	0	0	0	0	0	0	0	0	0	CBLC
ENSG00000142279	716	585	665	1044	740	851	487	395	422	WTIP
ENSG00000142303	95	95	103	245	219	246	102	93	43	ADAMTS10
ENSG00000142319	0	0	0	0	0	0	0	0	0	SLC6A3
ENSG00000142327	1877	1546	1963	2121	1557	2155	2642	2043	1902	RNPEPL1
ENSG00000142330	2199	1674	1931	2252	1578	2058	2503	2261	2184	CAPN10
ENSG00000142347	42	20	23	52	15	22	29	28	14	MYO1F
ENSG00000142396	234	266	285	242	286	257	329	376	368	ERVK3-1
ENSG00000142405	0	0	0	0	0	0	0	0	0	NLRP12
ENSG00000142408	422	489	631	878	663	691	1352	1234	821	CACNG8
ENSG00000142409	2618	1815	2040	2415	1634	2330	2186	2003	2117	ZNF787
ENSG00000142444	1226	742	806	1049	706	1137	1027	963	1027	TIMM29
ENSG00000142449	2	0	2	0	2	0	0	0	0	FBN3
ENSG00000142453	1948	3103	3396	2681	3062	2803	4889	4031	2336	CARM1
ENSG00000142459	1256	1156	1350	1036	1000	1181	1782	1336	1211	EVI5L
ENSG00000142484	0	0	0	0	0	0	0	0	0	TM4SF5
ENSG00000142494	262	283	328	370	247	308	238	273	167	SLC47A1
ENSG00000142507	5776	3500	3672	5764	3229	4953	4584	4243	5317	PSMB6
ENSG00000142511	0	0	0	0	0	0	0	0	0	GPR32
ENSG00000142512	5	6	4	7	8	5	7	22	3	SIGLEC10
ENSG00000142513	4	12	9	3	7	6	7	30	4	ACP4
ENSG00000142515	0	0	0	0	0	0	0	0	0	KLK3
ENSG00000142528	757	998	1124	867	1036	918	1496	1514	873	ZNF473
ENSG00000142530	50	12	21	73	15	71	56	22	43	GARIN5A
ENSG00000142534	54196	30302	34416	57260	29368	47874	35457	31224	45710	RPS11
ENSG00000142538	0	0	0	0	0	0	0	0	0	PTH2
ENSG00000142539	0	0	0	0	0	0	0	0	0	
ENSG00000142541	85874	43989	50114	86898	41783	73750	58250	48162	72680	RPL13A
ENSG00000142544	1015	469	644	895	468	975	831	542	913	CTU1
ENSG00000142546	4019	2110	2541	4109	1941	3417	2775	2394	3425	NOSIP
ENSG00000142549	1451	1600	1786	1674	1308	1699	2561	2012	1732	IGLON5
ENSG00000142552	799	485	485	1209	661	1142	618	762	943	RCN3
ENSG00000142556	301	461	527	347	560	365	497	649	415	ZNF614
ENSG00000142583	0	0	0	0	2	0	2	0	0	SLC2A5
ENSG00000142599	2976	4442	5049	3714	4875	3876	6595	5794	2931	RERE
ENSG00000142606	31	22	51	79	89	73	101	88	46	MMEL1
ENSG00000142609	6	2	8	13	4	12	7	8	9	CFAP74
ENSG00000142611	0	0	0	2	0	0	0	0	0	PRDM16
ENSG00000142615	0	1	0	1	5	0	1	2	0	CELA2A
ENSG00000142619	0	0	2	0	0	0	0	0	0	PADI3
ENSG00000142621	32	61	92	93	70	56	149	104	97	FHAD1
ENSG00000142623	0	0	0	0	0	0	0	0	0	PADI1
ENSG00000142627	2513	3286	3709	3003	3293	3436	4718	4130	2700	EPHA2
ENSG00000142632	850	655	667	774	501	651	790	740	701	ARHGEF19
ENSG00000142634	1761	1429	1470	1828	1232	1947	1829	1654	1515	EFHD2
ENSG00000142655	1566	1204	1460	1843	1211	1785	1652	1602	1730	PEX14
ENSG00000142657	9208	8356	9311	11071	8218	10481	11498	10681	9868	PGD
ENSG00000142661	10	26	18	0	6	8	27	30	17	MYOM3
ENSG00000142669	5492	3873	4311	6040	3777	5787	6931	5956	6864	SH3BGRL3
ENSG00000142675	30	31	27	42	22	53	82	28	24	CNKSR1
ENSG00000142676	26407	15338	16202	28895	15358	24472	16706	14943	23601	RPL11
ENSG00000142677	0	0	0	0	2	2	6	6	4	IL22RA1
ENSG00000142684	0	0	0	0	0	0	0	0	0	ZNF593
ENSG00000142686	1404	1176	1447	1603	1186	1606	2195	1972	1614	C1orf216
ENSG00000142687	2658	3106	3655	2987	3153	3054	5248	5396	3339	KIAA0319L
ENSG00000142694	0	0	0	0	0	0	0	0	0	EVA1B
ENSG00000142698	0	0	0	0	0	0	0	0	0	C1orf94
ENSG00000142700	398	372	397	439	419	575	425	483	415	DMRTA2
ENSG00000142731	830	1072	1191	782	1074	911	729	1239	778	PLK4
ENSG00000142733	1095	1079	1505	1221	1122	1093	1496	1195	882	MAP3K6
ENSG00000142748	14	8	6	0	3	7	7	0	3	FCN3
ENSG00000142751	1540	1275	1560	1747	1339	1692	1849	1622	1597	GPN2
ENSG00000142765	192	113	176	198	88	205	214	172	183	SYTL1
ENSG00000142784	2234	2942	3243	2449	2800	2692	4892	3907	2621	WDTC1
ENSG00000142789	0	0	0	0	0	0	0	0	0	CELA3A
ENSG00000142794	269	609	606	351	508	439	659	816	305	NBPF3
ENSG00000142798	733	1904	2272	832	2297	1171	2870	2307	570	HSPG2
ENSG00000142856	1002	699	588	1076	648	975	351	815	1001	ITGB3BP
ENSG00000142864	14772	14603	13954	16867	14818	16393	12007	15283	15047	SERBP1
ENSG00000142867	712	666	628	827	629	828	307	599	825	BCL10
ENSG00000142871	618	676	728	974	901	941	757	784	551	CCN1
ENSG00000142875	1541	1894	1756	1643	2356	1779	1320	2242	2266	PRKACB
ENSG00000142892	1002	1083	891	1116	1210	1128	595	1333	1241	PIGK
ENSG00000142910	4	1	1	6	7	2	2	10	0	TINAGL1
ENSG00000142920	364	318	310	373	272	366	430	407	353	AZIN2
ENSG00000142937	32679	18070	19320	34390	18348	29886	15861	19372	30099	RPS8
ENSG00000142945	2852	2578	2799	2929	2248	2664	3251	3074	2793	KIF2C
ENSG00000142949	2108	4306	4957	3191	4779	3574	9619	8039	3748	PTPRF
ENSG00000142959	10	0	9	15	1	9	11	6	6	BEST4
ENSG00000142961	393	357	467	436	421	397	537	409	370	MOB3C
ENSG00000142973	0	0	0	0	0	0	0	0	0	CYP4B1
ENSG00000143001	0	0	0	0	0	0	0	0	0	TMEM61
ENSG00000143006	0	0	0	0	0	0	0	0	0	DMRTB1
ENSG00000143013	765	750	637	1772	1514	1850	903	1036	916	LMO4
ENSG00000143028	2	6	8	2	0	1	0	4	0	SYPL2
ENSG00000143032	0	0	0	0	0	0	2	0	0	BARHL2
ENSG00000143033	1426	1619	1833	1604	1619	1535	1305	1688	1547	MTF2
ENSG00000143036	241	199	184	295	238	238	329	324	325	SLC44A3
ENSG00000143061	4627	9490	9659	5223	8859	5817	14291	14306	5610	IGSF3
ENSG00000143067	893	1161	1281	975	1194	1066	1534	1763	1075	ZNF697
ENSG00000143079	1104	1960	2146	1446	1795	1577	1865	2509	1439	CTTNBP2NL
ENSG00000143093	2137	2967	3266	2290	2386	2171	3691	3556	1896	STRIP1
ENSG00000143105	0	0	0	0	0	0	0	0	0	KCNA10
ENSG00000143106	3991	2652	2904	4080	2448	4124	3557	3425	4259	PSMA5
ENSG00000143107	0	2	0	2	0	0	0	0	0	FNDC7
ENSG00000143110	4	6	9	20	4	11	8	8	15	C1orf162
ENSG00000143119	0	0	1	0	0	6	0	2	0	CD53
ENSG00000143125	0	0	0	0	0	0	0	0	0	PROK1
ENSG00000143126	1439	2805	3234	1109	1781	1298	4917	4040	1744	CELSR2
ENSG00000143127	14	6	8	24	10	9	12	11	8	ITGA10
ENSG00000143147	3479	5891	6295	4186	5660	4370	7281	7204	3932	GPR161
ENSG00000143149	1839	2049	2236	2262	2089	2241	2609	2916	2119	ALDH9A1
ENSG00000143153	2656	3306	3442	3702	3812	3619	5219	6864	5922	ATP1B1
ENSG00000143155	2987	3038	2947	3439	3438	3329	2529	3669	3671	TIPRL
ENSG00000143156	769	660	803	1077	875	945	830	1020	1029	NME7
ENSG00000143157	2901	5160	5331	3691	5232	3855	5586	6427	3586	POGK
ENSG00000143158	944	626	686	1059	634	1027	573	929	1151	MPC2
ENSG00000143162	848	638	623	1196	1057	1290	764	1011	1002	CREG1
ENSG00000143164	1564	1417	1504	1645	1560	1606	1817	1979	1773	DCAF6
ENSG00000143167	0	0	2	0	0	0	0	0	0	GPA33
ENSG00000143171	0	0	0	0	0	0	0	0	0	RXRG
ENSG00000143178	120	87	127	149	119	129	106	110	105	TBX19
ENSG00000143179	3218	3336	3400	3768	3543	3597	3746	3968	3197	UCK2
ENSG00000143183	6505	4953	5330	6768	5381	6725	3803	5800	6646	TMCO1
ENSG00000143184	0	0	0	0	0	0	0	0	0	XCL1
ENSG00000143185	0	0	0	0	0	0	0	0	0	XCL2
ENSG00000143190	1131	1511	1483	1128	1473	1120	1495	1758	1055	POU2F1
ENSG00000143194	0	0	0	0	0	0	0	0	0	MAEL
ENSG00000143195	0	0	0	9	0	2	0	0	0	ILDR2
ENSG00000143196	0	0	2	4	0	2	0	0	10	DPT
ENSG00000143198	2334	1542	1658	2884	1709	2667	2301	2332	2943	MGST3
ENSG00000143199	0	2	0	1	4	3	12	3	6	ADCY10
ENSG00000143207	2742	2401	2612	2582	2183	2385	2450	2753	2650	COP1
ENSG00000143217	6	13	19	24	37	29	38	67	88	NECTIN4
ENSG00000143222	3992	2603	2878	4367	2601	3677	3445	3300	3754	UFC1
ENSG00000143224	1312	970	1262	1481	843	1227	1425	1243	1366	PPOX
ENSG00000143226	0	0	0	0	0	0	0	0	0	FCGR2A
ENSG00000143228	2058	1910	1892	2293	1705	2113	1046	1744	1895	NUF2
ENSG00000143248	153317	208555	205816	165836	214432	178174	128721	201128	183425	RGS5
ENSG00000143252	3086	3375	3855	4233	3477	4154	4443	4161	3940	SDHC
ENSG00000143256	4782	2871	2910	5533	3415	5016	4657	3855	5427	PFDN2
ENSG00000143257	21	33	13	25	16	7	42	32	23	NR1I3
ENSG00000143258	2622	2665	3135	3180	2424	3034	3316	2960	2545	USP21
ENSG00000143278	0	0	0	0	0	2	0	1	0	F13B
ENSG00000143294	7026	5210	6206	7621	5127	7516	7689	7391	7017	PRCC
ENSG00000143297	0	0	0	0	0	0	0	0	0	FCRL5
ENSG00000143303	1665	1224	1479	1776	1089	1523	1696	1490	1639	METTL25B
ENSG00000143314	3117	1737	1765	3400	1833	2770	3055	2480	3403	MRPL24
ENSG00000143315	1173	1526	1585	1494	1832	1667	1726	2048	1378	PIGM
ENSG00000143318	14	7	8	19	4	20	32	0	4	CASQ1
ENSG00000143319	4699	4946	5191	5287	4871	5467	6324	6350	5279	ISG20L2
ENSG00000143320	20437	12809	14734	7571	3853	6536	5938	4358	5887	CRABP2
ENSG00000143321	24097	19035	20537	25548	19011	25587	20974	18112	22738	HDGF
ENSG00000143322	1267	2130	2256	1558	2411	1760	3252	3313	1697	ABL2
ENSG00000143324	10318	17008	16842	7869	12021	8696	15505	22052	12340	XPR1
ENSG00000143333	1865	1474	1697	1220	983	1192	1945	2016	1891	RGS16
ENSG00000143337	4053	5187	5350	4211	5318	4749	4458	6419	4698	TOR1AIP1
ENSG00000143340	9719	13921	16213	10042	11125	10733	20941	18104	11112	FAM163A
ENSG00000143341	95	210	223	26	52	37	22	8	0	HMCN1
ENSG00000143344	736	1113	1158	1242	1691	1292	1833	1982	1031	RGL1
ENSG00000143353	418	325	245	469	337	420	246	383	646	LYPLAL1
ENSG00000143355	537	819	901	826	1055	949	872	861	760	LHX9
ENSG00000143363	1389	1759	1903	1925	2003	1802	2527	2665	1679	PRUNE1
ENSG00000143365	218	231	350	73	62	50	258	241	175	RORC
ENSG00000143367	652	686	791	766	763	736	1152	1368	923	TUFT1
ENSG00000143368	5115	5862	6190	5316	5074	5874	7013	6621	5283	SF3B4
ENSG00000143369	75	53	73	183	130	184	164	124	140	ECM1
ENSG00000143373	2523	3138	3728	2952	2893	2945	4657	4358	2839	ZNF687
ENSG00000143374	2220	1999	2127	2442	1796	2455	2878	2532	2383	TARS2
ENSG00000143375	118	125	155	254	301	203	519	402	343	CGN
ENSG00000143376	1652	2187	2421	1968	2415	2140	2911	3167	2191	SNX27
ENSG00000143379	1406	2563	2906	1801	2475	2104	3680	3283	1700	SETDB1
ENSG00000143382	297	369	488	423	402	368	681	434	240	ADAMTSL4
ENSG00000143384	9116	12594	12969	10343	12990	10811	12004	14882	10102	MCL1
ENSG00000143387	379	393	506	520	370	386	432	455	425	CTSK
ENSG00000143390	2463	3584	4221	2826	3546	3119	5347	5373	2982	RFX5
ENSG00000143393	3671	3746	4114	4194	3679	4224	6282	5093	4356	PI4KB
ENSG00000143398	3307	5132	5849	3880	5274	4174	6170	6391	3681	PIP5K1A
ENSG00000143401	7171	7500	7067	7600	8322	7997	2695	6405	7665	ANP32E
ENSG00000143409	573	518	676	756	541	664	939	810	595	MINDY1
ENSG00000143412	114	86	89	166	94	112	138	121	150	ANXA9
ENSG00000143416	545	398	447	396	272	309	374	260	259	SELENBP1
ENSG00000143418	3289	5314	5926	4041	5025	4463	8126	7335	4079	CERS2
ENSG00000143420	6481	5047	5631	7031	5202	6519	6164	6491	6993	ENSA
ENSG00000143429	4	0	1	1	2	2	1	3	2	LSP1P4
ENSG00000143434	1608	1613	2090	1254	1224	1224	2368	1942	1545	SEMA6C
ENSG00000143436	1816	1341	1628	1900	1130	1645	1754	1491	1601	MRPL9
ENSG00000143437	1826	3350	3750	2092	3041	2253	4057	4172	2162	ARNT
ENSG00000143442	3265	5365	5853	3833	5235	3655	6467	6434	3139	POGZ
ENSG00000143443	522	411	537	618	342	631	586	586	507	C1orf56
ENSG00000143450	78	90	76	57	56	58	71	73	62	OAZ3
ENSG00000143452	4	2	0	4	1	4	2	0	0	HORMAD1
ENSG00000143457	806	973	1007	1076	1062	1006	1037	1351	1300	GOLPH3L
ENSG00000143458	267	303	313	257	292	213	220	337	204	GABPB2
ENSG00000143469	661	932	797	812	930	616	488	1140	893	SYT14
ENSG00000143473	51	202	282	129	298	124	363	428	82	KCNH1
ENSG00000143476	2392	3301	3409	2617	3074	2680	3686	4225	2730	DTL
ENSG00000143479	1056	1081	1116	1815	1656	1577	1504	1901	1388	DYRK3
ENSG00000143486	1439	1393	1534	1732	1308	1708	1883	1593	1600	EIF2D
ENSG00000143493	1956	2342	2574	1910	2287	2145	2683	3623	2238	INTS7
ENSG00000143494	869	1329	1389	1206	1744	1258	1077	1597	1073	VASH2
ENSG00000143498	1109	785	833	831	879	968	619	993	947	TAF1A
ENSG00000143499	2028	1956	2137	2454	1926	2340	2644	2657	2310	SMYD2
ENSG00000143502	16	2	30	27	24	22	42	54	110	SUSD4
ENSG00000143507	924	1065	1107	841	846	812	849	834	753	DUSP10
ENSG00000143512	30	37	33	54	47	75	88	85	82	HHIPL2
ENSG00000143514	3503	5440	5736	3801	5010	4236	6034	5787	3252	TP53BP2
ENSG00000143515	3025	5472	6103	3667	5413	4052	7858	6902	3708	ATP8B2
ENSG00000143520	0	0	0	0	0	0	0	0	0	FLG2
ENSG00000143536	0	0	0	0	0	0	0	0	0	CRNN
ENSG00000143537	5279	4033	5006	6110	4210	6141	7558	6032	5723	ADAM15
ENSG00000143543	504	213	245	565	288	387	322	277	553	JTB
ENSG00000143545	741	401	530	900	477	817	510	462	799	RAB13
ENSG00000143546	0	0	0	2	0	0	0	0	0	S100A8
ENSG00000143549	22233	20031	20314	25038	20552	24390	19140	23255	26727	TPM3
ENSG00000143552	0	8	2	4	0	4	2	0	2	NUP210L
ENSG00000143553	1919	1457	1656	2163	1610	2042	2300	2284	2108	SNAPIN
ENSG00000143554	1101	929	1198	1046	908	1266	1425	1131	1056	SLC27A3
ENSG00000143556	0	0	0	0	0	0	0	0	0	S100A7
ENSG00000143569	9045	13726	15365	11224	13753	12320	19360	18574	10356	UBAP2L
ENSG00000143570	41	53	55	41	57	41	59	37	29	SLC39A1
ENSG00000143575	3836	2603	2759	4131	2583	3896	4852	3862	4139	HAX1
ENSG00000143578	649	445	553	701	436	636	610	550	458	CREB3L4
ENSG00000143590	239	183	205	531	293	488	307	372	460	EFNA3
ENSG00000143595	91	83	62	185	116	167	444	366	398	AQP10
ENSG00000143603	97	135	128	100	107	80	207	240	119	KCNN3
ENSG00000143612	10526	9474	10450	12167	9351	11818	12186	13141	12419	C1orf43
ENSG00000143614	1970	2637	2803	2039	2354	2064	3026	3041	2052	GATAD2B
ENSG00000143621	16069	12066	13223	16708	11216	15155	13860	14542	14661	ILF2
ENSG00000143622	1974	2442	2423	2257	2214	2109	2219	2783	2142	RIT1
ENSG00000143624	2961	3654	4546	3544	3494	3282	4703	4293	2846	INTS3
ENSG00000143627	0	0	1	1	0	0	0	0	0	PKLR
ENSG00000143630	473	925	1104	555	725	568	1988	1797	951	HCN3
ENSG00000143631	0	0	0	10	0	0	0	0	0	FLG
ENSG00000143632	1	0	3	2	2	7	0	1	0	ACTA1
ENSG00000143633	1112	882	928	1295	799	1078	724	900	1165	C1orf131
ENSG00000143641	4894	7796	8022	4797	6406	5309	10483	9710	5457	GALNT2
ENSG00000143643	581	695	697	708	801	752	754	942	704	TTC13
ENSG00000143653	3129	2520	2705	3397	2645	3223	2758	3418	3518	SCCPDH
ENSG00000143669	256	315	291	273	416	271	443	555	276	LYST
ENSG00000143674	145	218	244	265	371	282	427	465	324	MAP3K21
ENSG00000143702	4607	8205	8157	4636	8873	5359	8309	11417	5272	CEP170
ENSG00000143727	3590	2900	3224	4128	2875	3611	2293	3374	3562	ACP1
ENSG00000143740	2676	2266	2602	3318	2170	3158	3534	3134	3166	SNAP47
ENSG00000143742	14334	10971	10854	14328	11075	13539	4505	9339	14040	SRP9
ENSG00000143748	1202	1057	1344	1245	995	1246	1501	1528	1129	NVL
ENSG00000143751	1678	2582	2771	1668	2740	1896	1581	2309	1631	SDE2
ENSG00000143753	3852	3433	3421	4017	3541	4194	3162	5124	4856	DEGS1
ENSG00000143756	1915	2815	2816	2468	3130	2545	2202	3231	2091	FBXO28
ENSG00000143761	19268	18343	20136	21676	17639	21657	22394	23380	20549	ARF1
ENSG00000143768	0	2	0	2	2	8	3	0	0	LEFTY2
ENSG00000143771	2806	2239	2398	2983	2063	2498	2381	2389	2986	CNIH4
ENSG00000143772	2584	3671	4389	2503	3064	2882	3645	3564	2064	ITPKB
ENSG00000143774	12609	7158	8645	14357	7413	12770	11723	9894	13186	GUK1
ENSG00000143776	2052	3911	3853	2455	4033	2741	4297	5380	2403	CDC42BPA
ENSG00000143786	132	105	87	275	197	244	227	229	170	CNIH3
ENSG00000143793	2807	1595	2005	2917	1486	2481	2305	1916	2482	C1orf35
ENSG00000143797	1579	2040	2362	1492	1943	1468	1719	2791	1924	MBOAT2
ENSG00000143799	17400	19589	20666	19194	19737	19817	23251	23298	17062	PARP1
ENSG00000143801	19	38	26	23	45	37	47	40	11	PSEN2
ENSG00000143811	2410	1574	1828	2537	1468	2193	2174	1952	2151	PYCR2
ENSG00000143815	2132	3189	2721	2239	3218	2471	1986	2799	2126	LBR
ENSG00000143816	10	17	23	23	18	31	23	16	14	WNT9A
ENSG00000143819	1593	1165	1465	2016	1310	1714	1880	1776	1715	EPHX1
ENSG00000143839	0	0	2	0	0	0	0	0	0	REN
ENSG00000143842	518	731	863	492	655	534	825	762	428	SOX13
ENSG00000143845	852	800	912	1177	862	1166	1486	1232	1078	ETNK2
ENSG00000143847	297	400	493	338	447	354	684	600	422	PPFIA4
ENSG00000143850	6133	9383	9684	8932	11585	9558	16374	14875	8070	PLEKHA6
ENSG00000143851	4	2	4	2	1	0	3	14	4	PTPN7
ENSG00000143858	239	820	851	250	571	251	810	1002	270	SYT2
ENSG00000143862	3660	2793	3178	4164	3273	4381	5863	5056	5361	ARL8A
ENSG00000143867	0	0	0	0	0	0	0	0	0	OSR1
ENSG00000143869	55	133	157	104	284	209	458	318	162	GDF7
ENSG00000143870	7250	7369	7862	7973	7448	8506	10191	9248	7200	PDIA6
ENSG00000143878	3300	3524	4050	3444	3335	3538	3645	3589	3223	RHOB
ENSG00000143882	45	25	28	52	34	41	24	43	41	ATP6V1C2
ENSG00000143889	2454	2664	2731	2684	2541	2790	2361	2773	2534	HNRNPLL
ENSG00000143891	682	582	589	779	601	792	625	703	737	GALM
ENSG00000143919	172	134	176	259	174	276	198	214	254	CAMKMT
ENSG00000143921	0	1	2	0	0	0	6	0	0	ABCG8
ENSG00000143924	3122	5090	5128	4172	5996	4473	7794	10182	5507	EML4
ENSG00000143933	34041	24221	26773	28105	18862	25298	16950	28507	32821	CALM2
ENSG00000143942	156	112	104	215	131	185	116	146	217	CHAC2
ENSG00000143947	21616	10611	11458	21127	10808	17987	11992	12183	18311	RPS27A
ENSG00000143951	201	247	227	214	320	220	284	383	301	WDPCP
ENSG00000143952	1286	1675	1792	1403	1607	1534	1307	1738	1270	VPS54
ENSG00000143954	4	0	4	4	6	13	1	4	10	REG3G
ENSG00000143970	775	1841	1947	876	2066	1012	1931	2691	769	ASXL2
ENSG00000143971	1170	1330	1225	1397	1342	1274	663	1311	1310	ETAA1
ENSG00000143977	2539	1824	1578	2764	1828	2230	1462	1692	2574	SNRPG
ENSG00000143994	41	44	40	86	47	94	98	90	86	ABHD1
ENSG00000143995	1107	1331	1487	1212	1266	1271	842	1033	852	MEIS1
ENSG00000144010	0	0	0	0	0	0	0	0	0	TRIM43B
ENSG00000144015	0	0	0	0	4	0	0	0	0	TRIM43
ENSG00000144021	4564	4588	5174	5440	4969	5587	6094	6241	5251	CIAO1
ENSG00000144026	460	336	449	583	380	436	325	448	537	ZNF514
ENSG00000144028	13700	22240	24419	16760	23096	18389	32584	30390	14954	SNRNP200
ENSG00000144029	114	182	153	181	143	103	93	117	137	MRPS5
ENSG00000144031	5	14	7	9	6	15	33	8	18	ANKRD53
ENSG00000144034	1395	814	802	1247	876	1179	394	748	1208	TPRKB
ENSG00000144035	0	0	5	0	0	0	2	4	2	NAT8
ENSG00000144036	379	697	822	446	739	496	722	1032	501	EXOC6B
ENSG00000144040	792	701	841	741	663	678	1047	865	704	SFXN5
ENSG00000144043	1526	2231	2301	1980	2135	2236	3272	3012	2200	TEX261
ENSG00000144045	1576	1454	1627	1913	1575	1662	1525	1514	1144	DQX1
ENSG00000144048	770	634	744	1005	800	859	583	840	1011	DUSP11
